,bib_number,half_1st,half_second,time_total_netto,time_total_brutto,5km,10km,15km,20km,25km,30km,35km,40km,last_name,first_name,grade_time
59,5288,4862,5177,10038,10043,1126,2241,3384,4608,5778,7054,8237,9498,xxx,xxx,<3h
60,60,4808,5237,10045,10048,1128,2241,3365,4548,5688,6993,8254,9529,xxx,xxx,<3h
61,67,4832,5217,10049,10054,1108,2218,3348,4569,5738,7035,8277,9511,xxx,xxx,<3h
62,5196,4873,5178,10050,10050,1119,2234,3348,4555,5732,6973,8114,9395,xxx,xxx,<3h
63,5266,4962,5100,10061,10088,1177,2321,3476,4699,5872,7147,8314,9521,xxx,xxx,<3h
64,2760,4708,5361,10069,10069,1067,2142,3235,4442,5603,6879,8144,9485,xxx,xxx,<3h
65,5210,5013,5058,10070,10075,1192,2361,3533,4749,5917,7188,8354,9559,xxx,xxx,<3h
66,5268,4945,5145,10090,10112,1210,2335,3496,4694,5838,7084,8227,9548,xxx,xxx,<3h
67,7871,5002,5093,10095,10104,1181,2341,3509,4736,5906,7170,8313,9555,xxx,xxx,<3h
68,5333,4970,5133,10102,10130,1172,2326,3488,4699,5888,7138,8326,9560,xxx,xxx,<3h
69,5246,5009,5099,10107,10130,1199,2334,3504,4738,5940,7196,8364,9584,xxx,xxx,<3h
70,7696,5153,4963,10115,10171,1266,2463,3666,4892,6081,7309,8455,9626,xxx,xxx,<3h
71,5411,4914,5211,10125,10144,1175,2296,3444,4659,5797,7026,8180,9547,xxx,xxx,<3h
72,5229,5006,5125,10130,10136,1221,2366,3520,4739,5910,7160,8362,9605,xxx,xxx,<3h
73,2672,5039,5121,10159,10164,1232,2384,3533,4773,5958,7263,8383,9662,xxx,xxx,<3h
74,5367,5078,5086,10164,10176,1183,2339,3518,4801,5987,7249,8407,9632,xxx,xxx,<3h
75,5419,4876,5292,10167,10171,1149,2278,3420,4624,5764,6972,8162,9520,xxx,xxx,<3h
76,5285,4925,5248,10172,10176,1121,2252,3406,4647,5852,7194,8396,9645,xxx,xxx,<3h
77,7751,5008,5167,10175,10194,1178,2310,3489,4741,5918,7190,8346,9631,xxx,xxx,<3h
78,5126,4811,5372,10183,10184,1047,2157,3294,4536,5748,7064,8270,9609,xxx,xxx,<3h
79,5183,5004,5180,10184,10198,1135,2280,3427,4716,5958,7266,8492,9682,xxx,xxx,<3h
80,7922,5135,5056,10190,10194,1215,2387,3577,4869,6045,7308,8432,9661,xxx,xxx,<3h
81,5360,5054,5137,10191,10213,1193,2357,3523,4778,5978,7249,8432,9664,xxx,xxx,<3h
82,18052,5019,5176,10194,10199,1155,2303,3499,4752,5941,7252,8424,9667,xxx,xxx,<3h
83,2807,5088,5109,10197,10204,1190,2364,3560,4814,6012,7276,8454,9683,xxx,xxx,<3h
84,5339,5077,5121,10197,10200,1211,2369,3545,4801,6006,7289,8435,9655,xxx,xxx,<3h
85,54,4745,5454,10198,10199,1072,2147,3253,4475,5615,6850,8127,9597,xxx,xxx,<3h
86,7786,5223,4991,10213,10224,1241,2443,3663,4962,6131,7371,8498,9684,xxx,xxx,<3h
87,5295,4818,5398,10216,10259,1117,2203,3328,4549,5729,7014,8261,9654,xxx,xxx,<3h
88,58,5085,5158,10243,10243,1123,2304,3510,4810,6015,7339,8494,9738,xxx,xxx,<3h
89,88,5063,5183,10245,10249,1189,2361,3544,4801,5976,7238,8418,9693,xxx,xxx,<3h
90,5278,4907,5340,10246,10253,1168,2298,3444,4648,5813,7077,8287,9633,xxx,xxx,<3h
91,5305,5030,5216,10246,10270,1193,2348,3527,4762,5940,7181,8362,9643,xxx,xxx,<3h
92,305,4967,5282,10249,10264,1189,2335,3471,4704,5881,7151,8361,9679,xxx,xxx,<3h
93,7750,4998,5254,10252,10258,1162,2305,3474,4726,5909,7192,8392,9680,xxx,xxx,<3h
94,2840,4632,5620,10252,10259,1056,2090,3164,4389,5531,6814,7992,9543,xxx,xxx,<3h
95,7785,5099,5164,10262,10266,1182,2341,3517,4823,6008,7315,8479,9721,xxx,xxx,<3h
96,5275,5231,5033,10263,10315,1253,2459,3671,4958,6164,7456,8625,9777,xxx,xxx,<3h
97,2698,5095,5173,10268,10271,1165,2317,3509,4810,6050,7362,8551,9776,xxx,xxx,<3h
98,5205,4937,5331,10268,10273,1140,2268,3427,4666,5850,7123,8456,9720,xxx,xxx,<3h
99,7766,4974,5299,10272,10288,1174,2279,3423,4702,5899,7206,8406,9687,xxx,xxx,<3h
100,7787,4935,5339,10273,10282,1151,2282,3421,4655,5855,7155,8380,9713,xxx,xxx,<3h
101,5191,4749,5529,10278,10279,1022,2116,3266,4496,5611,6842,8182,9623,xxx,xxx,<3h
102,76,4870,5415,10284,10318,1135,2229,3358,4599,5796,7088,8357,9702,xxx,xxx,<3h
103,5267,4965,5321,10286,10299,1145,2274,3430,4697,5890,7141,8354,9694,xxx,xxx,<3h
104,2738,5088,5205,10292,10293,1210,2382,3571,4827,5983,7234,8416,9697,xxx,xxx,<3h
105,20199,4986,5308,10293,10340,1189,2308,3445,4712,5891,7208,8409,9716,xxx,xxx,<3h
106,20169,5094,5203,10297,10297,1210,2390,3572,4814,6022,7280,8512,9767,xxx,xxx,<3h
107,2803,5089,5212,10300,10307,1191,2364,3560,4814,6013,7277,8454,9747,xxx,xxx,<3h
